"Location","Date","Description","Deaths","Injuries"
"Australia","September 23, 2014","2014 Endeavour Hills stabbings. Numan Haider, an Afghan Australian stabbed two counter terrorism officers in Melbourne, Australia. He was then shot dead.","1","2"
"Russia","October 5, 2014","2014 Grozny bombing","6","12"
"Canada","October 20, 2014","2014 Saint-Jean-sur-Richelieu ramming attack Lone attacker used his car to run over two Canadian soldiers.","1","1"
"Canada","October 22, 2014","2014 shootings at Parliament Hill, Ottawa. Lone attacker shot a soldier at a war memorial and attacked Parliament.","1","3"
"Israel","October 22, 2014","A Hamas terrorist rammed his vehicle into a group of people waiting at a light rail station in Jerusalem.","2","8"
"United States","October 23, 2014","Zale H. Thomson, also known as Zaim Farouq Abdul-Malik, attacked four New York policemen in the subway with a hatchet, severely injuring one in the back of the head and injuring another policeman in the arm before being shot to death by the remaining officers, who also shot a civilian.","0","5"
"Israel","November 5, 2014","In the November 2014 Jerusalem vehicular attack a Hamas operative deliberately drove a van at high speed into a crowd of people.","4","13"
"Israel","November 18, 2014","2014 Jerusalem synagogue attack","5","7"
"Nigeria","November 28, 2014","Kano bombing","120","260"
"United Arab Emirates","December 1, 2014","A burqa-clad woman stabs a 47-year-old American teacher to death in a mall restroom in Abu Dhabi She later plants a bomb outside the home of an Egyptian-American doctor.","1",""
"Russia","December 4, 2014","2014 Grozny clashes","26",""
"Philippines","December 9, 2014","2014 Bukidnon bus bombing","11","43"
"Australia","December 15–16, 2014","2014 Sydney hostage crisis. A lone gunman, Man Haron Monis, held hostage ten customers and eight employees of a Lindt chocolate café at Martin Place in Sydney. Police treated the event as a terrorist attack at the time. It was however designated as a terrorist attack by the state government but Monis' motives have subsequently been debated.","3","4"
"Pakistan","December 16, 2014","2014 Peshawar school massacre","140",""
"Yemen","December 16, 2014","2014 Rada' bombings Two suicide car bombers rammed their vehicles into a Shiite rebels' checkpoint.","26",""
"Nigeria","December 18, 2014","2014 Gumsuri kidnappings. Boko Haram insurgents killed 32 men and kidnapped at least 185 women and children.","32",""
"Syria","December 18, 2014","Mass grave of 230 Tribesmen killed by ISIL found in Eastern Syria.","230",""
"France","December 20, 2014","2014 Tours police station stabbing. A man yelling Allahu Akbar attacked a police office with a knife. He was killed and three police officers were injured.","1","3"
"France","December 21, 2014","2014 Dijon attack. A man yelling Allahu Akbar ran over people with his vehicle.","0","11"
"Nigeria","December 22, 2014","Boko Haram insurgents bombed a bus station in the city of Gombe","20+",""
"Iraq","December 2014","ISIL militants execute 150 women Iraqi province of Al-Anbar, some of whom were pregnant at the time, who refuse to marry their fighters.","150",""
"Iraq","December 24, 2014","A suicide bomber killed 33 people and wounded 55 others in Madaen, about 25 km (15 miles) south of Baghdad.","33","55"
"Somalia","December 25, 2014","Al-Shabaab attack in Mogadishu","9",""
"Cameroon","December 28, 2014","Boko Haram attacks village in Cameroon","30",""
"Afghanistan","January 5, 2015","A car packed with explosives drove up to the headquarters of EUPOL Afghanistan, a European police-training organization, in Kabul and detonated. Taliban claimed responsibility.","1","16"
"Iraq","January 6, 2015","Two suicide bombers attacked a mosque in the town of Al-Jubba while Iraqi soldiers were resting, killing 10 soldiers plus the two attackers. Clashes following the bombings left 13 security personnel dead and 21 wounded.","25","21"
"France","January 7–9, 2015","A series of five attacks in and around Paris kill 17 people, plus three attackers, and leave 22 other people injured.","20","22"
"Nigeria","January 8, 2015","2015 Baga massacre Boko Haram attacks town of Baga in northern Nigeria killing at least 200 people. Another 2000 are unaccounted for.","200+","--"
"France","January 9, 2015","The Porte de Vincennes hostage crisis","4","9"
"Lebanon","January 10, 2015","In the 2015 Jabal Mohsen suicide attacks","9","30+"
"Egypt","January 29, 2015","January 2015 Sinai attacks. 44 killed, several wounded.","44","scores"
"Pakistan","January 30, 2015","Suicide bomber killed at least 55, injuring at least 59 in a Shiite mosque in southern Pakistan.","55+","59+"
"Pakistan","February 13, 2015","Heavily armed militants killed at least 19 people and wounded more than 40 after they stormed into a Shiite mosque during Friday Prayer in a suburb of Peshawar.","19","40+"
"Denmark","February 14–15, 2015","2015 Copenhagen shootings. A gunman opened fire at the Krudttoenden café and later at the Great Synagogue in Copenhagen, killing two civilians and injuring five others.","2","5"
"Nigeria","March 7, 2015","Five suicide bomb blasts leave 58 dead and 143 wounded in the 2015 Maiduguri suicide bombing.","58","143"
"Pakistan","March 15, 2015","Suicide bombers kill at least 15 people in attacks on two churches in Lahore.","15",""
"Tunisia","March 18, 2015","Bardo National Museum attack. Militants linked to Islamic State of Iraq and the Levant (ISIL) attack the Bardo National Museum with guns, killing 21 people and injuring around 50.","21","50+"
"Yemen","March 20, 2015","2015 Sana'a mosque bombings. 135 killed in bombings on several mosques by ISIL.","135",""
"Libya","March 25, 2015","ISIL affiliates, The Shura Council of Benghazi Revolutionaries in Libya carried out suicide bombings in the city of Benghazi. Twelve were killed and 25 wounded. Five additional dead during attacks with a local militia.","12","25"
"Somalia","March 27, 2015","Makka al-Mukarama hotel attack. 20+ dead 28 wounded.","20+","28"
"Kenya","April 2, 2015","148 people—most of them Christian students—killed in Al-Shabaab's Garissa University College attack before Easter weekend Holidays.","148",""
"Saudi Arabia","April 8, 2015","In the city of Riyadh two policemen are shot dead. ISIL is blamed to be behind the attack.","2",""
"Somalia","April 14, 2015","Militants of Al-Shabaab attack a government building in Mogadishu in the 2015 Ministry of Higher Education attack. 17 dead 15 wounded.","17","58"
"Iraq","April 17, 2015","A series of bombings by the ISIL occurred through Baghdad. 40+ killed 59+ injured.","40+","59+"
"Iraq","April 17, 2015","A car bomb exploded at the entrance of the US consulate in Erbil, Iraq. ISIL took credit for the attack. 3 killed 5 wounded.","3","5"
"Afghanistan","April 18, 2015","A suicide bomb detonated in front of a bank in Jalalabad, Afghanistan. ISIL claims responsibility. 33 killed 100+ injured.","33","100+"
"Somalia","April 20, 2015","A minivan of UN workers was bombed by Al-Shabaab in the Puntland region of Somalia. 9 dead 4 injured.","9","4"
"Bosnia and Herzegovina","April 27, 2015","At the Zvornik police station terrorist attack in the city of Zvornik, Republika Srpska, in Bosnia and Herzegovina, an armed member of a wahhabist movement opened fire on the police. In the shooting, a police officer was killed, two others were injured, and the attacker was killed by police.","2","2"
"Iraq","May 3, 2015","Two car bombs were detonated ten minutes apart in Baghdad, Iraq. Nineteen were killed and an unknown number wounded. ISIL claimed responsibility for the attacks.","19",""
"United States","May 3, 2015","Two gunmen attacked the Curtis Culwell Center during a 'Draw Muhammad' cartoon art exhibit in Garland, Texas . 2 dead (perpetrators) 1 injured.","2","1"
"Afghanistan","May 3, 2015","Taliban militants overran checkpoints in Warduj, killing 17 policemen.","17",""
"Afghanistan","May 4, 2015","A government bus was attacked by a suicide bomber in Kabul, killing one person and injuring 15 others.","1","15"
"Iraq","May 10, 2015","Two car bombs were detonated ten minutes apart in Baghdad, Iraq and surrounding towns of Taji and Tarmiyah. ISIL claims responsibility. 14 were killed and wounding 30.","14","30"
"Afghanistan","May 10, 2015","A bus carrying Afghan government employees was attacked in Kabul by a suicide bomber, killing 3 people and injuring 10. Taliban claimed responsibility.","3","10"
"Pakistan","May 13, 2015","A bus carrying Shia Muslims was attacked by six armed gunman who rode up in motorcycles. Several Islamist groups claim responsibility. 45 dead 13 injured.","45","13"
"Afghanistan","May 14, 2015","A hotel that was hosting a cultural event was attacked by Taliban fighters in Kabul leaving 14 dead including an American, an Italian, and 4 Indians.","14",""
"Afghanistan","May 17, 2015","A Taliban suicide attack near the entrance of Hamid Karzai International Airport targeting a European police training vehicle. 3 dead 18 injured.","3","18"
"Afghanistan","May 19, 2015","A suicide car bombing detonated in the parking lot of a Justice Ministry building in the diplomatic section of Kabul, killing 4 people wounding 42.","4","42"
"Libya","May 21, 2015","A suicide bomber detonated his explosives at a military checkpoint outside of Misrata killing himself and two guards.","3",""
"Saudi Arabia","May 22, 2015","A suicide bomber attacked a Shia mosque during prayer in the al-Qadeeh village. ISIL claimed responsibility for the attack. 21 dead +90 injured.","21","90+"
"Afghanistan","May 25, 2015","Taliban militants killed 19 policemen and six soldiers during a siege at a police compound in Nawzad District of Afghanistan.","25",""
"Kenya","May 26, 2015","Al-Shabaab militants attacked two police patrols which turned into a gun battle north of Garissa, 5 police officers were injured but they were able to kill both of the attackers.","2","5"
"Iraq","May 28, 2015","Two car bombs were set off minutes apart targeting the Cristal Grand Ishtar Hotel and the Babylon. 10 killed and 30 wounded.","10","30"
"Saudi Arabia","May 29, 2015","A suicide bomber attacked a Shia mosque in Dammam detonating the bomb in the parking lot. 4 killed, unknown injured.","4",""
"Iraq","June 1, 2015","Three suicide bombers in humvees attacked an Iraqi police station in the Tharthar region in Northern Anbar Province. 41 dead, 63 wounded.","41","63"
"Turkey","June 5, 2015","2015 Diyarbakır rally bombings – Twin bombing of a Peoples' Democratic Party (HDP) rally. 4 dead, over 100 injured.","4","100+"
"Iraq","June 13, 2015","Four suicide SUV car bombs went off in an Iraqi police station in the Hajjaj near Tikrit and Baiji. 11 dead, 27 injured.","11","27"
"France","June 26, 2015","Saint-Quentin-Fallavier attack – Beheading in a factory near Lyon, head marked with Arabic writing and Islamist flags. Gas canisters planted provoked a fire. 1 dead, 11 injured.","1","11"
"Kuwait","June 26, 2015","2015 Kuwait mosque bombing – 27 people killed in explosion at Shia Imam Sadiq mosque in Kuwait City, medical sources tell Al Jazeera. Claimed by ISIL","27",""
"Tunisia","June 26, 2015","2015 Sousse attack – Attack in Tunisia against two tourist hotels, over 28 people died.","38",""
"Somalia","June 26, 2015","Battle of Leego (2015) Attack on AMISOM base in Somalia with a car bomb, assault rifles and RPGs, causing over 30 military deaths.","30+",""
"Nigeria","June 26–30, 2015","Boko Haram kills at least 200 people as they gun down and bomb villages, mosques, and other public space.","200",""
"Israel","June 29, 2015","2015 Shuvat Rachel shooting shooting attack on civilian car, 1 death.","1",""
"Nigeria","July 5, 2015","Two bombs explode at an elite restaurant and mosque, killing at least 15 people in Jos.","15+",""
"Nigeria","July 7, 2015","A bomb explodes in a government office in Zaria, killing 20 people.","20",""
"Cameroon","July 13, 2015","2 suicide bombers explode in a bar in the town of Fotokol and kill 13 people, including a soldier from Chad who was killed in the second explosion.","15",""
"United States","July 16, 2015","2015 Chattanooga shootings","7","2"
"Nigeria","July 17, 2015","Two Nigerian towns are attacked by two suicide bombers, killing 62 people.","62",""
"Turkey","July 20, 2015","2015 Suruç bombing Suicide bombing killed 33 people and injured 104 in Kurdish majority city of Suruç. ISIL claims responsibility.","33","104"
"Nigeria","July 22, 2015","A series of explosions at two bus stations in Gombe kill about 40 people.","40",""
"Cameroon","July 26, 2015","A suicide bomber kills at least 14 people at a popular nightclub in Maruoa, just three days after 2 suicide bombers killed 20 people in the same town.","15",""
"India","July 27, 2015","2015 Gurdaspur attack Three Islamic terrorists of Pakistani origin from Indian-administrated Kashmir disguised in army uniforms attacked the Dina Nagar police station in Gurdaspur District of Punjab, India. The attack resulted in the deaths of 3 policemen, 4 civilians and 15 others were injured. All 3 attackers were killed by the Indian security forces.","10","15"
"Nigeria","August 11, 2015","47 people are killed as explosions erupt at a crowded market in the town of Sabon Gari.","47",""
"Iraq","August 13, 2015","2015 Baghdad market truck bombing A truck bomb in a Baghdad market killed more than 70 and injures 200.","70+","200"
"France","August 21, 2015","2015 Thalys train attack Shooting and stabbing in train traveling from Amsterdam to Paris injures 5. The incident is believed by French police to be an Islamist terrorist attack.","0","5"
"Nigeria","August 28–30, 2015","Boko Haram members massacre 79 people in 3 different Nigerian villages. 68 alone were killed in the village of Baanu.","79",""
"Nigeria","September 10, 2015","Explosion at a refugee camp for people fleeing Boko Haram kills at least 2.","2",""
"Iraq","September 17, 2015","Two suicide bombings in Baghdad killed 10 and injured 55. ISIL claims responsibility.","12","55"
"Germany","September 17, 2015","Rafik Y, an Islamist of Iraqi descent attacked and injured a police officer with a knife in Berlin. 1 injured, 1 dead (perpetrator).","1","1"
"Nigeria","September 21, 2015","At least 54 people were killed by multiple explosions in Nigeria.","54",""
"Yemen","September 24, 2015","A bomb attack on a Shia mosque in Sana'a killed 25 and injured dozens more during prayers for the Muslim holiday of Eid al-Adha. Claimed by ISIL.","25",""
"Bangladesh","September 29, 2015","Three men on a motorbike shot and killed an Italian aid worker. The attack has been claimed by ISIL.","1",""
"Nigeria","October 1, 2015","Multiple suicide bombings by Boko Haram in North-East Nigeria killed 14 people (including the bombers) and injured 39.","14","39"
"Israel","October 1, 2015","Gunmen opened fire on a car near Nablus on the northern West Bank, killing a man and woman. 4 of their 6 children were also in the car and witnessed the attack, but were uninjured. The attackers have been praised by Hamas.","2",""
"Australia","October 2, 2015","2015 Parramatta shooting. A NSW Police Force civilian employee was shot dead outside NSW Police Force headquarters on Charles Street, Parramatta, Sydney by a 15-year-old lone gunman. The gunman then engaged with NSW Police Special Constables in a shootout before being killed, 2 dead.","4",""
"Bangladesh","October 3, 2015","A Japanese man was shot and killed in a similar fashion to an Italian aid worker killed 4 days earlier. The attack has been claimed by ISIL.","1",""
"Iraq","October 3, 2015","In Baghdad, two suicide bombings in Shiite majority neighbourhoods kill at least 18 people and injure 61. Attack claimed by ISIL.","20","61"
"Afghanistan","October 5, 2015","Two suicide bombings in Kabul targeted an Afghan intelligence centre. 3 people were injured in the attack, claimed by the Taliban.","2","3"
"Somalia","October 7, 2015","Militants of Al-Shabaab ambushed and killed the nephew of Somalia's president, Hassan Sheikh Mohamud. 2 dead.","2",""
"Turkey","October 10, 2015","In the 2015 Ankara bombings 102 people were killed and over 400 others injured. According to two high ranked sources in the Turkish security forces ISIL is most likely responsible.","102","400+"
"Chad","October 10, 2015","Multiple suicide bombings in Chad killed 33 people and injured 51. The attack is believed to be the work of Boko Haram.","33","51"
"Afghanistan","October 11, 2015","A bomb attack in Kabul, targeting a British military convoy injured 7 Afghan civilians. The attack has been claimed by the Taliban.","0","7"
"Nigeria","October 22, 2015","20 people were killed in the northeast state of Borno, Nigeria in a Boko Haram attack.","20",""
"Nigeria","October 23, 2015","Two separate mosques were attacked by suicide bombers, killing 42 in Nigeria.","42",""
"Niger","October 28, 2015","Boko Haram militants attack a village in Niger, gunning down 13 people and allegedly burning down houses and cars during the rampage.","13",""
"Egypt","October 31, 2015","Bomb on board a Russian jet brings it down in Sinai, bound for St Petersburg, killing 224 people.","224",""
"Lebanon","November 12, 2015","Twin suicide bombings kill 42 people in the capital city of Beirut.","42",""
"France","November 13, 2015","A series of terrorist attacks in Paris kill 137, and wound 368. They involved a series of coordinated attacks which consisted of mass shootings and suicide bombings. This incident was the most fatal event on French soil since World War II.","137","368"
"Iraq","November 13, 2015","A Suicide bomber kills at least 21 at a Shia funeral.","21",""
"Philippines","November 17, 2015","A Malaysian national is beheaded by Abu Sayyaf in the southern Philippines.","1",""
"Nigeria","November 17, 2015","A suicide attack at a market in Yola killed more than 30 people and hospitalised more than 80. The attack is thought to be the work of Boko Haram.","30+","80+"
"Bosnia and Herzegovina","November 18, 2015","A lone wolf Islamist killed two soldiers and injured civilians in Sarajevo. 3 dead 5 wounded.","3","5"
"Nigeria","November 18, 2015","Two explosions rock a phone market in Kano killing at least 15 people and injuring more than 100. Boko Haram is suspected to be behind it.","15","100+"
"Mali","November 20, 2015","Bamako hotel attack. Gunmen yelling ""Allahu Akbar"" storm a hotel in Bamako, Mali. At least 19 killed, and more than 160 were taken hostage.","19","160+"
"Iraq","November 20, 2015","A Suicide bomber detonates inside a Shiite mosque killing 10 people, other bombings in the area killed another 5 people.","11","5"
"Cameroon","November 21, 2015","Suicide bombers affiliated with Boko Haram kill at least 10 in northern Cameroon.","10",""
"Nigeria","November 22, 2015","8 people among women and children demise when a female suicide bomber is reduced to pulp.","8",""
"Tunisia","November 24, 2015","At least 12 people were killed in a bus bombing in Tunis, the capital of Tunisia. ISIL claimed responsibility for this attack that targeted a bus transporting members of the Presidential Guard.","12",""
"Egypt","November 24, 2015","In the November 2015 Sinai attack which occurred a day after the second round of parliamentary elections closed, militants attack a hotel housing election judges in the provincial capital of al-Arish in Egypt's North Sinai. 7 dead, 10+ wounded","7","10+"
"Niger","November 25, 2015","Boko Haram invades a village and shoots indiscriminately residents and also fire rockets, killing 18.","18",""
"Nigeria","November 27, 2015","21 killed in Boko Haram suicide attack on a Shia procession in Nigeria","22",""
"Egypt","November 28, 2015","Islamist gunmen killed four security personnel in an attack at a police checkpoint in Saqqara. 4 dead","4",""
"Mali","November 28, 2015","Militants fired rockets on a MINUSMA peacekeeping forces base in northern Mali. Ansar Dine claimed responsibility. 3 dead, 20 wounded.","3","20"
"United States","December 2, 2015","In the 2015 San Bernardino attack, married couple Rizwan Farook and Tashfeen Malik shot and killed 14 people and injured 22 others in a killing spree that the FBI was investigating as ""act of terrorism"".","14","22"
"Chad","December 5, 2015","Four female suicide bombers from the militant Islamist group Boko Haram attacked the Chadian island of Koulfoua on Lake Chad, killing at least 15 people and injuring 130.","19","130+"
"Yemen","December 6, 2015","The governor of the southern port city of Aden in Yemen, Jaafar Mohammed Saad, was killed in a car bomb attack. The assassination was claimed by ISIL.","1",""
"Afghanistan","December 8, 2015","In the 2015 Kandahar Airport attacks several Taliban members attacked the Kandahar Airport and surrounding area. 70+ killed, 35 injured.","70+","35"
"Egypt","December 8, 2015","An explosive device by Islamists targeting a military convoy went off in Rafah. 4 dead 4 injured.","4","4"
"Iraq","December 9, 2015","A suicide bomber detonated his explosives in the doorway of a Shiite mosque. 11+ dead 20 injured.","11+","20"
"Afghanistan","December 11, 2015","In the 2015 Spanish Embassy attack in Kabul, Taliban militants detonated a car bomb and stormed a guesthouse near the Spanish embassy. 6 dead, several injured.","6",""
"Syria","December 11, 2015","In the Tell Tamer bombings three truck bombs by ISIL killed up to 60 people and injured more than 80 in the town of Tell Tamer.","60","80"
"Syria","December 12, 2015","Islamists detonated a car bomb near an hospital in central Homs. 16 killed, 54 injured.","16","54"
"Iraq","December 12, 2015","A millitant detonated his explosives in a truck at an Iraqi position near the Saudi border. 6 dead, 14 injured.","6","14"
"Nigeria","December 13, 2015","Boko Haram Islamists, at least some using machetes, attacked residents of the villages of Warwara, Mangari, and Bura-Shika. 30 killed and 20 injured","30","20"
"Afghanistan","December 21, 2015","A suicide bomber on a motorcycle killed six and wounded three in Kabul, Afghanistan near Bagram Airfield.","7","3"
"Nigeria","December 26, 2015","Boko Haram gunmen raided Kimba village in northern Nigeria, opening fire on residents and torching their homes. 14+ killed.","14+",""
"Afghanistan","December 28, 2015","A Taliban suicide bomber killed at least one person and wounded 33 in an attack on a road near a school close to Kabul International Airport.","2","33"
"Nigeria","December 28, 2015","Fourteen Islamist female suicide bombers aged 12–18 attempted to simultaneously attack the city of Maiduguri. Seven of the bombers were shot dead by Nigerian forces while three menaged to escape and detonate themselves in Baderi general area and near a Mosque, killing 26 people and wounding another 85.","36","85"
"Pakistan","December 29, 2015","A suicide bomber detonated his explosives in the front entrance of a regional branch of the National Database and Registration Authority in the northwestern city of Mardan, Pakistan. The blast killed 26 people and more than 50 were wounded.","27","50+"
"Russia","December 29, 2015","A gunman opened fire on a group of local residents who were visiting a viewing platform at the fortress in Derbent, Dagestan, southern Russia, killing one and injuring 11. ISIL claims responsibility.","1","11"
"Totals:","3,097+","3,383+","",""
"Afghanistan","January 1, 2016","A Taliban suicide bomber detonated himself in a French restaurant called 'Le Jardin' in Kabul. 2 dead 15 injured.","2","15"
"India","January 2, 2016","In the 2016 Pathankot attack suspected Jaish-e-Mohammed militants attacked an Indian air base killing 7 security force members. Several injured.","7",""
"Iraq","January 3, 2016","Five Islamist suicide bombers attack an Iraqi military base. 15 dead and 22 injured.","15","22"
"Afghanistan","January 4, 2016","A Militant drove a truck packed with explosives to the armored gates of a compound for civilian contractors near Kabul's airport before detonating. 30 people injured, including children.","0","30"
"Libya","January 7, 2016","In the Zliten truck bombing Islamist militants detonated a truck bomb at the police training camp al-Jahfal in the coastal town of Zliten, Libya. 50+ dead 100+ wounded.","50+","100+"
"France","January 7, 2016","In the January 2016 Paris police station attack an Islamist from Morocco wearing a fake explosive belt attacked police officers with a meat cleaver. He was shot dead.","1","0"
"Libya","January 7, 2016","A car bombing at a checkpoint in the Libyan oil port of Ras Lanuf left seven people dead and 11 wounded.","7","11"
"Egypt","January 8, 2016","In the 2016 Hurghada attack two militants armed with a melee weapon and a signal flare stormed the Bella Vista Hotel. 3 injured.","0","3"
"France","January 11, 2016","A 15-year-old Turkish ISIL supporter attacked a teacher from a Jewish school in Marseille with a machete. 1 injured.","0","1"
"Iraq","January 11, 2016","ISIL gunmen detonate suicide vests in a shopping mall, killing at least 20 and wounding more than 40 people.","20","40+"
"Turkey","January 12, 2016","In the 2016 Istanbul bombing an ISIL suicide bomber kills 10 tourists and injures 15 more in the historical centre of Istanbul.","11","15"
"Indonesia","January 14, 2016","In the 2016 Jakarta attacks 4 assailants kill 2 and injure 24 in a terrorist attack in Jakarta. The attack was orchestrated and financed from ISIL in Syria.","2","24"
"Somalia","January 15, 2016","In the El Adde attack, Al-Shabaab terrorists attack an African Union Kenyan army base in El-Adde. 63+ killed, several injured.","63+",""
"Burkina Faso","January 15, 2016","In the 2016 Ouagadougou attack Islamist gunmen armed with heavy weapons attacked the Cappuccino restaurant and the Splendid Hotel in Ouagadougou, the capital of Burkina Faso. 20+ killed. 15+ injured.","20+","15+"
"Pakistan","January 21, 2016","At least 22 killed in attack on Bacha Khan University, Pakistan. The Taliban claim responsibility for the attack.","22",""
"Somalia","January 22, 2016","Al-Shabab attack on beachside restaurant leaves 20 dead.","20",""
"Cameroon","January 25, 2016","Suspected Boko Haram insurgents have blown themselves up in a market in Cameroon, killing at least 25 people and injuring 62 others.","25","62"
"Nigeria","January 30, 2016","Boko Haram gunmen raided a Nigerian village, at least 65 people were killed and 136 others injured.","65","136"
"Ivory Coast","March 13, 2016","In the 2016 Grand-Bassam shootings Al Qaeda gunmen stormed 3 hotels in the beach resort city of Grand-Bassam in the Ivory Coast, leaving 18 people dead.","18",""
"Iraq","March 20, 2016","In Anbar, Iraq, ISIL suicide bombers kill at least 24 at municipal building","24",""
"Belgium","March 22, 2016","2016 Brussels bombings includes two suicide bombings in Brussels Airport and one bombing in Brussels Metro that resulted in 35 deaths and more than 300 wounded.","35","300+"
"Yemen","March 25, 2016","Three ISIL suicide bombers strike security checkpoints in the Yemeni city of Aden, killing 26 people.","29",""
"Iraq","March 25, 2016","30 people killed and 95 injured after a suicide bomber blew himself up at a football stadium in Iskandariya, south of Baghdad. ISIL claimed responsibility for the attack.","30","95"
"Pakistan","March 27, 2016","The 2016 Lahore suicide bombing targeted Christians who had gathered on Easter in Gulshan-e-Iqbal Park. The blast, by Jamaat-ul-Ahrar, a Pakistani Taliban faction, killed at least 70 people and injured 300 others.","70","300"
"Afghanistan","April 19, 2016","The April 2016 Kabul attack targeted a security team responsible for protecting government VIPs in Kabul, Afghanistan. The attack killed 64 people and wounded 347. It was the Taliban's biggest attack on an urban area since 2001.","64","347"
"Bangladesh","April 23, 2016","Attackers hacked a university professor to death in the city of Rajshahi, Bangladesh. ISIL claimed responsibility for the attack stating that they assassinated him ""for calling to atheism in the city of Rajshahi in Bangladesh"".","1",""
"Bangladesh","April 25, 2016","Two gays rights activists were hacked to death in the capital of Bangladesh, Dhaka. An Al-Qaeda affiliated group claimed responsibility for the attacks and stated they killed the two as they were ""pioneers of practicing  [sic] and promoting homosexuality in Bangladesh"".","2",""
"Iraq","May 11, 2016","At least 40 people were killed and 60 injured in a car bomb attack on a market in Baghdad. ISIL claims responsibility.","40","60"
"United States","June 12, 2016","49 people were killed and 53 injured in a mass shooting at a nightclub in Orlando, Florida. The shooter, Omar Mateen, pledged allegiance to ISIL by specifically calling police and journalists several times during the incident.","49","53"
"France","June 14, 2016","Two French citizens, a police officer and his wife were stabbed to death in Magnanville, France by a man swearing his allegiance to ISIL.","2",""
"Jordan","June 21, 2016","ISIS Soldier infiltrates refugee camp at a Jordanian army post near Rukban, killing 6 and wounding 14. ISIL later claimed responsibility.","6","14"
"Pakistan","June 22, 2016","Assassination of Amjad Sabri, claimed by a splinter group of the Pakistani Taliban who accused Sabri of blasphemy.","1",""
"Turkey","28 June 2016","A simultaneous terrorist attack, consisting of shootings and suicide bombings at the international terminal of Terminal 2 of Atatürk Airport in Istanbul, Turkey resulted in forty-five deaths in addition to the three attackers and injuring more than 230 people.","45","230"
"Bangladesh","July 1, 2016","Gunmen killed 20 hostages in the affluent Gulshan Thana neighborhood of Dhaka. Thirteen hostages were rescued; two police officers and six terrorists were killed. One terrorist was taken into custody. ISIL claimed responsibility, but according to Bangladeshi officials, the attack was carried out by homegrown militant group Jamaat-ul-Mujahideen Bangladesh. On August 27, Bangladeshi police killed three militants whom they accused of perpetrating the Dhaka attack, including Tamim Ahmed Chowdhury, a 30-year-old Canadian citizen born in Bangladesh, who was described as ""one of the main suppliers of funds and arms for several recent attacks"".","26",""
"Iraq","July 3, 2016","July 2016 Baghdad bombings Two coordinated bomb attacks killed over 300 people and injured over 221 others.","300+","221+"
"Indonesia","July 4, 2016","A suicide bomber attacked a police station in Central Java, killing himself and injuring a police officer.","1","1"
"Iraq","July 7, 2016","A coordinated attack involving suicide car bombers, suicide bombers on foot, and gunmen against the mausoleum of Muhammad ibn Ali al-Hadi, a Shi'ite holy site in Baghdad, killed at least 56 people and injured 75. ISIL claimed responsibility.","56","75"
"Germany","July 18, 2016","A 17-year-old Afghan refugee injured five people seriously, two critically, with a knife and hatchet on a train near Würzburg. The attacker was shot dead when he attacked the arriving police officers.","1","5"
"Germany","July 24, 2016","A suicide bombing outside a wine bar in Ansbach, Germany, in which a bomber tried to bomb a large music festival going on at the time. After detonation, he injured 15, 4 seriously. Many videos were discovered of him pledging allegiance to ISIL and Abu Bakr al-Baghdadi. The bomber was the only fatality.","1","15"
"France","July 26, 2016","A priest's throat was slit and four nuns were taken hostage in a church in Rouen, France. The IS-linked Amaq news agency said ""two soldiers of the Islamic State"" had carried out the attack. The two terrorists were shot dead by the French authorities. One of the men was known to the French intelligence services (as reported by French TV channel M6) and was on the French government's terror watch-list, known as the S list.","3",""
"Pakistan","August 8, 2016","77 people were killed and over 100 injured by a suicide bombing at a government hospital in Quetta, Pakistan.","77","100+"
"India","September 18, 2016","2016 Uri attack - Four armed militants attacked on Indian Army brigade headquarters in Uri area of Baramulla district in the state of Jammu and Kashmir, India. 18 Soldiers were killed in the ambush and 19 were injured.","18","19"
"United States","November 28, 2016","2016 Ohio State University attack, 11 people were hospitalized for injuries after a car ramming attack and mass stabbing occurred at Ohio State University. The perpetrator, Abdul Razak Ali Artan, was a Muslim Somali refugee and legal permanent resident of the United States.","0","11"
"Pakistan","November 12, 2016","Forty-seven people were killed and 100 injured by a bomb at the Shah Noorani shrine in Balochistan. More people were killed and injured during the stampede that resulted from people fleeing the bomb blast. ISIL claimed responsibility.","56","102"
"Egypt","December 11, 2016","A suicide bomber killed 27 people and injured 47 others at St. Peter and St. Paul's Church (commonly known as El-Botroseya Church) in Cairo. The bomber was identified as 22-year-old Mahmoud Shafiq Mohammed Mustafa. ISIL claimed responsibility. By early 2017, eight suspects had been arrested in connection with the bombing.","29","47"
"Germany","December 19, 2016","2016 Berlin attack during which a truck was driven into the Christmas market next to the Kaiser Wilhelm Memorial Church at Breitscheidplatz in Berlin, left 12 people dead and 56 others injured.","12","56"
"Afghanistan","February 8, 2017","Islamic State militants attack a convoy of aid workers of the Red Cross in Northern Afghanistan. Killing 6 and taking 2 prisoner.","6","0"
"Afghanistan","February 11, 2017","Taliban suicide car bomber killed seven people outside a bank in Lashkargah.","7","21"
"Pakistan","February 16, 2017","During the 2017 Sehwan suicide bombing a suicide bomber entered the main hall of the Shrine of Lal Shahbaz Qalandar in Sehwan and detonated his payload amid dozens of worshippers.","88","100+"
